Id CustomerId Surname Score Geography Gender Tenure Balance NumOfProducts Has IsActiveMember Age EstimatedSalary Exited
1 15634602 Hargrave 619 France Female 1.0 83807.86 1 0 1 42.0 112542.58 0
2 15647311 Hill 608 Spain Female 8.0 159660.8 3 1 0 41.0 113931.57 1
3 15619304 Onio 502 France Female 1.0 0.0 2 0 0 42.0 93826.63 0
4 15701354 Boni 699 France Female 2.0 125510.82 1 1 1 39.0 79084.1 0
5 15737888 Mitchell 850 Spain Female 8.0 113755.78 2 1 0 43.0 149756.71 1
6 15574012 Chu 645 Spain Male 7.0 0.0 2 1 1 44.0 10062.8 0
7 15592531 Bartlett 822 France Male 4.0 115046.74 4 1 0 50.0 119346.88 1
8 15656148 Obinna 376 Germany Female 4.0 142051.07 2 0 1 29.0 74940.5 0
9 15792365 He 501 France Male 2.0 134603.88 1 1 1 44.0 71725.73 0
10 15592389 H? 684 France Male 6.0 102016.72 2 0 0 27.0 80181.12 0
11 15767821 Bearce 528 France Male 3.0 0.0 2 1 0 31.0 76390.01 0
12 15737173 Andrews 497 Spain Male 10.0 0.0 2 1 0 24.0 26260.98 0
13 15632264 Kay 476 France Female 5.0 0.0 2 0 0 34.0 190857.79 0
14 15691483 Chin 549 France Female 7.0 0.0 2 1 1 25.0 65951.65 0
15 15600882 Scott 635 Spain Female 3.0 143129.41 2 0 1 35.0 64327.26 0
16 15643966 Goforth 616 Germany Male 1.0 132602.88 1 1 0 45.0 5097.67 1
17 15737452 Romeo 653 Germany Male 9.0 0.0 2 1 1 58.0 14406.41 0
18 15788218 Henderson 549 Spain Female 6.0 0.0 1 0 0 24.0 158684.81 0
19 15661507 Muldrow 587 Spain Male 6.0 0.0 2 1 1 45.0 54724.03 0
20 15568982 Hao 726 France Female 8.0 0.0 2 1 1 24.0 170886.17 0
21 15577657 McDonald 732 France Male 8.0 0.0 2 1 0 41.0 138555.46 0
22 15597945 Dellucci 636 Spain Female 4.0 0.0 1 1 0 32.0 118913.53 1
23 15699309 Gerasimov 510 Spain Female 3.0 0.0 2 0 1 38.0 8487.75 0
24 15725737 Mosman 669 France Male 5.0 0.0 1 1 1 46.0 187616.16 0
25 15625047 Yen 846 France Female 3.0 0.0 2 0 1 38.0 124508.29 0
26 15738191 Maclean 577 France Male 2.0 136815.64 1 1 1 25.0 170041.95 0
27 15736816 Young 756 Germany Male 9.0 0.0 2 0 0 36.0 38433.35 0
28 15700772 Nebechi 571 France Male 3.0 141349.43 1 1 1 44.0 100187.43 0
29 15728693 McWilliams 574 Germany Female 0.0 59697.17 2 1 1 43.0 53483.21 0
30 15656300 Lucciano 411 France Male 0.0 0.0 3 1 0 29.0 140469.38 1
31 15589475 Azikiwe 591 Spain Female 7.0 85311.7 1 0 1 39.0 156731.91 0
32 15706552 Odinakachukwu 533 France Male 9.0 110112.54 2 0 0 36.0 81898.81 0
33 15750181 Sanderson 553 Germany Male 6.0 0.0 2 1 1 41.0 34410.55 0
34 15659428 Maggard 520 Spain Female 9.0 0.0 2 1 1 42.0 142033.07 0
35 15732963 Clements 722 Spain Female 0.0 134264.04 1 1 0 29.0 27822.99 1
36 15794171 Lombardo 475 France Female 3.0 145260.23 1 0 1 45.0 114066.77 0
37 15788448 Watson 490 Spain Male 7.0 76548.6 1 0 1 31.0 98453.45 0
38 15729599 Lorenzo 804 Spain Male 7.0 0.0 1 1 1 33.0 40812.9 0
39 15717426 Armstrong 850 France Male 6.0 70349.48 2 0 1 36.0 178074.04 0
40 15585768 Cameron 582 Germany Male 4.0 0.0 1 1 0 41.0 70154.22 0
41 15619360 Hsiao 472 Spain Male 8.0 122522.32 1 0 0 40.0 181297.65 1
42 15738148 Clarke 465 France Female 2.0 117419.35 1 1 1 51.0 94153.83 0
43 15687946 Osborne 556 France Female 2.0 131394.56 1 0 0 61.0 194365.76 1
44 15755196 Lavine 834 France Female 5.0 155931.11 1 1 1 49.0 158338.39 0
45 15684171 Bianchi 660 Spain Female 4.0 109421.13 2 1 1 61.0 126517.46 0
46 15754849 Tyler 776 Germany Female 9.0 112045.67 1 1 1 32.0 119708.21 1
47 15602280 Martin 829 Germany Female 9.0 137843.8 1 1 1 27.0 117622.8 1
48 15771573 Okagbue 637 Germany Female 0.0 103391.38 1 0 1 39.0 90878.13 0
49 15766205 Yin 550 Germany Male 2.0 103769.22 2 1 0 38.0 194099.12 0
50 15771873 Buccho 776 Germany Female 2.0 0.0 1 1 1 37.0 101348.88 1
51 15638494 Salinas 625 Germany Female 8.0 0.0 2 1 1 46.0 60739.16 0
